`№ п/п,Наименование,Единица измерения,Цена с НДС /руб
204.           ,SAN ASE 80 MODEL 109P0812A201,шт,2997-00
205.           ,SAN ASE 80 MODEL 9GV0848P1G03,шт,4197-00
206.           ,SAN ASE 40 MODEL 109P0424J3023,шт,4777-00
207.           ,EBMPAST  4114 NH3,шт,7199-00
208.           ,4184 NXH,шт,4700-00
209.           ,ABB SD203 50A,шт,3900-00
210.           ,FF412VHN,шт,1300-00
211.           ,LTC 3416 EFE,шт,980-00
212.           ,НАКОНЕЧНИК ДЛЯ ПАЯЛЬНОЙ СТАНЦИИ ATP-8180,шт,900-00
213.           ,НАКОНЕЧНИК ДЛЯ ПАЯЛЬНОЙ СТАНЦИИ ATP-8482,шт,900-00
214.           ,НАКОНЕЧНИК ДЛЯ ПАЯЛЬНОЙ СТАНЦИИ ATP-8170,шт,900-00
215.           ,ТРАНЗИСТОР GB15B60KD,шт,450-00
216.           ,CLEANER 400ML ,Шт ,580-00
217.           ,ASAHI   CF-10 (D-1MM/250ГР),шт,1880-00
218.           ,REXANT FLUXOFF,шт,650-00
219.           ,PARITY 24029 400ML ,Шт ,770-00
220.           ,АНТИСТАТИЧЕСКАЯ КИСТОЧКА MD-0927,шт,150-00
221.           ,ФЛЮС ФКСП 20МЛ,шт,155-00
222.           ,"ПЕРЕХОДНИК SB-312. SMA- ШТЕКЕР, BNC-ГНЕЗДО",Шт ,350-00
223.           ,БЛОК РОЗЕТОК СО ШНУРОМ 19^^  MDX-PDU-16A,шт,900-00
224.           ,АКРИЛОВЫЙ ЛАК PLASTIK-71,шт,365-00
225.           ,ПОДШИПНИКИ 6001 Z     ,Шт,170-00
226.           ,VENTS OB 4E 350,шт,10450-00
227.           ,SUNON DP200A,шт,3900-00
228.           ,Коаксиальный кабель  SAT 703 (netk o)  ,М ,52-00
229.           ,"Кабель сетевой(медь) UTR cat 5e- 4 пары,24 AWG",м,25-00
230.           ,Кабель Canare L2T2S BLK,м,195-00
231.           ,"Разъем накручивающийся  BNC, RG-5 8  ",Шт,73-00
232.           ,"Разъем обжимной BNC, RG-59",шт,75-00
233.           ,Разъем BNC PK-75,шт,187-00
234.           ,F-конектор для SAT-703   ,шт,19-00
235.           ,вилка DHB-44 M 44pin,шт,353-00
236.           ,Гильза кабельная медная  ГМЛ-16-6,шт,24-00
237.           ,Консоль 300мм с опорой    ,шт,545-00
238.           ,Муфта ЗПТ 40мм,шт,80-00
239.           ,Разъем RG-12 6p6c,шт,11-00
240.           ,Разъем питания KPPX-4P    ,шт,900-00
241.           ,Адаптер N female на N female SPINNER ,шт,723-00
242.           ,Адаптер 7-16 male на N male SPINNER,шт,2557-00
243.           ,Адаптер 7-16 male на N female SPINNER  ,шт,2533-00
244.           ,Адаптер 7-16 female на N male SPINNER,шт,2570-00
245.           ,Транзистор MRF151G корпус 375-04,шт,8867-00
246.           ,Разъем 7/8* EIA под фидер  7/8* ,шт,5517-00
247.           ,Разъем 7/8* EIA под фидер  1/2,шт,4898-00
248.           ,Разъем N под фидер  7/8* male ,шт,1400-00
249.           ,Разъем 7/16* под фидер  7/8* female,шт,1500-00`
